id,timestamp,text,actual_catg,display_text_range,retweet_count,favorite_count,img_num,p1,p1_conf,rate,rate_deno,name_1
892420643555336193,2017-08-01 16:23:56,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,0,85,8842,39492,1,orange,0.0970486,13.0,10,Phineas
892177421306343426,2017-08-01 00:17:27,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",0,138,6480,33786,1,chihuahua,0.323581,13.0,10,Tilly
891815181378084864,2017-07-31 00:18:03,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,0,121,4301,25445,1,chihuahua,0.716012,12.0,10,Archie
891689557279858688,2017-07-30 15:58:51,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,0,79,8925,42863,1,paper_towel,0.17027799999999998,13.0,10,Darla
891327558926688256,2017-07-29 16:00:24,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",0,138,9721,41016,2,basset,0.555712,12.0,10,Franklin
891087950875897856,2017-07-29 00:08:17,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,0,138,3240,20548,1,chesapeake_bay_retriever,0.425595,13.0,10,0
890971913173991426,2017-07-28 16:27:12,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",0,140,2142,12053,1,appenzeller,0.34170300000000003,13.0,10,Jax
890729181411237888,2017-07-28 00:22:40,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,0,118,19548,66596,2,pomeranian,0.566142,13.0,10,0
890609185150312448,2017-07-27 16:25:51,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,0,122,4403,28187,1,irish_terrier,0.487574,13.0,10,Zoey
890240255349198849,2017-07-26 15:59:51,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,doggo,133,7684,32467,1,pembroke,0.511319,14.0,10,Cassie
890006608113172480,2017-07-26 00:31:25,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,0,130,7584,31127,1,samoyed,0.957979,13.0,10,Koda
889880896479866881,2017-07-25 16:11:53,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,0,107,5116,28208,1,french_bulldog,0.377417,13.0,10,Bruno
889665388333682689,2017-07-25 01:55:32,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,puppo,106,8502,38745,1,pembroke,0.966327,13.0,10,0
889638837579907072,2017-07-25 00:10:02,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,0,91,4705,27633,1,french_bulldog,0.99165,12.0,10,Ted
889531135344209921,2017-07-24 17:02:04,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,puppo,118,2309,15329,1,golden_retriever,0.953442,13.0,10,Stuart
889278841981685760,2017-07-24 00:19:32,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,0,138,5635,25712,1,whippet,0.626152,13.0,10,Oliver
888917238123831296,2017-07-23 00:22:39,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,0,86,4681,29555,1,golden_retriever,0.714719,12.0,10,Jim
888804989199671297,2017-07-22 16:56:37,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best https://t.co/HTQ77yNQ5K,0,128,4535,26021,1,golden_retriever,0.46976,13.0,10,Zeke
888554962724278272,2017-07-22 00:23:06,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af https://t.co/YnYAFCTTiK,0,87,3722,20267,3,siberian_husky,0.700377,13.0,10,Ralphus
888078434458587136,2017-07-20 16:49:33,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway https://t.co/DK7iDPfuRX,0,127,3637,22144,1,french_bulldog,0.995026,12.0,10,Gerald
887705289381826560,2017-07-19 16:06:48,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic https://t.co/PhrUk20Q64,0,127,5584,30690,1,basset,0.821664,13.0,10,Jeffrey
887517139158093824,2017-07-19 03:39:09,I've yet to rate a Venezuelan Hover Wiener. This is such an honor. 14/10 paw-inspiring af (IG: roxy.thedoxy) https://t.co/20VrLAA8ba,0,108,12053,46940,1,limousine,0.130432,14.0,10,0
887473957103951883,2017-07-19 00:47:34,This is Canela. She attempted some fancy porch pics. They were unsuccessful. 13/10 someone help her https://t.co/cLyzpcUcMX,0,99,18813,70007,2,pembroke,0.809197,13.0,10,Canela
887343217045368832,2017-07-18 16:08:03,You may not have known you needed to see this today. 13/10 please enjoy (IG: emmylouroo) https://t.co/WZqNqygEyV,0,88,10713,34223,1,mexican_hairless,0.330741,13.0,10,0
887101392804085760,2017-07-18 00:07:08,This... is a Jubilant Antarctic House Bear. We only rate dogs. Please only send dogs. Thank you... 12/10 would suffocate in floof https://t.co/4Ad1jzJSdp,0,129,6147,31045,1,samoyed,0.733942,12.0,10,0
886983233522544640,2017-07-17 16:17:36,This is Maya. She's very shy. Rarely leaves her cup. 13/10 would find her an environment to thrive in https://t.co/I6oNy0CgiT,0,101,8045,35786,2,chihuahua,0.793469,13.0,10,Maya
886736880519319552,2017-07-16 23:58:41,"This is Mingus. He's a wonderful father to his smol pup. Confirmed 13/10, but he needs your help

https://t.co/bVi0Yr4Cff https://t.co/ISvKOSkd5b",0,121,3420,12286,1,kuvasz,0.309706,13.0,10,Mingus
886680336477933568,2017-07-16 20:14:00,This is Derek. He's late for a dog meeting. 13/10 pet...al to the metal https://t.co/BCoWue0abA,0,71,4597,22802,1,convertible,0.738995,13.0,10,Derek
886366144734445568,2017-07-15 23:25:31,This is Roscoe. Another pupper fallen victim to spontaneous tongue ejections. Get the BlepiPen immediate. 12/10 deep breaths Roscoe https://t.co/RGE08MIJox,pupper,131,3297,21488,1,french_bulldog,0.999201,12.0,10,Roscoe
886258384151887873,2017-07-15 16:17:19,This is Waffles. His doggles are pupside down. Unsure how to fix. 13/10 someone assist Waffles https://t.co/xZDA9Qsq1O,0,94,6506,28437,1,pug,0.943575,13.0,10,Waffles
885984800019947520,2017-07-14 22:10:11,Viewer discretion advised. This is Jimbo. He will rip ur finger right h*ckin off. Other dog clearly an accessory. 12/10 pls pet with caution https://t.co/BuveP0uMF1,0,140,7043,33299,1,blenheim_spaniel,0.972494,12.0,10,Jimbo
885528943205470208,2017-07-13 15:58:47,This is Maisey. She fell asleep mid-excavation. Happens to the best of us. 13/10 would pat noggin approvingly https://t.co/tp1kQ8i9JF,0,109,6642,36592,1,pug,0.369275,13.0,10,Maisey
885167619883638784,2017-07-12 16:03:00,Here we have a corgi undercover as a malamute. Pawbably doing important investigative work. Zero control over tongue happenings. 13/10 https://t.co/44ItaMubBf,0,134,4526,22304,4,malamute,0.8124819999999999,13.0,10,0
884925521741709313,2017-07-12 00:01:00,"This is Earl. He found a hat. Nervous about what you think of it. 12/10 it's delightful, Earl https://t.co/MYJvdlNRVa",0,93,19149,78881,1,italian_greyhound,0.259916,12.0,10,Earl
884876753390489601,2017-07-11 20:47:12,This is Lola. It's her first time outside. Must test the earth and taste the atmosphere. 13/10 you're doing great Lola https://t.co/74TKAUsLkO,0,118,6042,28429,1,chow,0.822103,13.0,10,Lola
